#python metaPathwayMap/scripts/metaPathwayMap.py -pwy static/databases/PlantCyc/pathways.dat.cid.all -canopus static/tmp/anthocyanin_canopus_summary_filtered.tsv -jaccard 0.7 -log static/tmp/log2.out
#ExptID	CANOPUS_MostSpecific	MetaboliteMatch	Jaccard	MetabolitesPathway	Network_Component
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-520|57694	0.338235	PWY-6787|flavonoid_biosynthesis_(in_equisetum)	Component-12
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-520|57694	0.338235	PWY-7129|quercetin_glucoside_biosynthesis_(<i>Allium</i>)	Component-6
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-520|57694	0.338235	PWY-7495|gossypetin_metabolism	Component-7
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-520|57694	0.338235	PWY-5321|quercetin_glycoside_biosynthesis_(Arabidopsis)	Component-6
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-520|57694	0.338235	PWY-7157|eupatolitin_3-<i>O</i>-glucoside_biosynthesis	Component-6
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-520|57694	0.338235	PWY-7192|quercetin_diglycoside_biosynthesis_(pollen-specific)	Component-6
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-8004|6052	0.298701	PWY-7161|polymethylated_quercetin_biosynthesis	Component-7
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-8004|6052	0.298701	PWY-7171|flavonol_acylglucoside_biosynthesis_II	Component-6
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-8004|6052	0.298701	PWY-6064|methylquercetin_biosynthesis	Component-7
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-8004|6052	0.298701	PWY-7498|phenylpropanoids_methylation_(ice_plant)	Component-216
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-8004|6052	0.298701	PWY-6199|quercetin_sulfate_biosynthesis	Component-7
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-1962|2507	0.318182	PWY-6029|2,3-<i>trans</i>-flavanols_biosynthesis	Component-7
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	LEUCOPELARGONIDIN-CMPD|17343	0.313433	PWY-6029|2,3-<i>trans</i>-flavanols_biosynthesis	Component-7
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	LEUCOPELARGONIDIN-CMPD|17343	0.313433	PWY-7267|anthocyanin_biosynthesis_(pelargonidin_3-<i>O</i>-glucoside)	Component-6
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	LEUCOPELARGONIDIN-CMPD|17343	0.313433	PWY1F-823|leucopelargonidin_and_leucocyanidin_biosynthesis	Component-7
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-1961|15600	0.358209	PWY-6029|2,3-<i>trans</i>-flavanols_biosynthesis	Component-7
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-590|11412	0.347826	PWY-6029|2,3-<i>trans</i>-flavanols_biosynthesis	Component-7
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-590|11412	0.347826	PWY1F-823|leucopelargonidin_and_leucocyanidin_biosynthesis	Component-7
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-10358|31018	0.318841	PWY-6029|2,3-<i>trans</i>-flavanols_biosynthesis	Component-7
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-7088|6417	0.309859	PWY-6029|2,3-<i>trans</i>-flavanols_biosynthesis	Component-7
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-7088|6417	0.309859	PWY-5153|anthocyanin_biosynthesis_(delphinidin_3-O-glucoside)	Component-6
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-7088|6417	0.309859	PWY-5152|leucodelphinidin_biosynthesis	Component-7
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-7088|71216	0.309859	PWY-6029|2,3-<i>trans</i>-flavanols_biosynthesis	Component-7
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-7088|71216	0.309859	PWY-5153|anthocyanin_biosynthesis_(delphinidin_3-O-glucoside)	Component-6
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-7088|71216	0.309859	PWY-5152|leucodelphinidin_biosynthesis	Component-7
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-7870|55336	0.656716	PWY-5295|ternatin_C5_biosynthesis	Component-6
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-7870|58913	0.565217	PWY-5295|ternatin_C5_biosynthesis	Component-6
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-7864|55335	0.611940	PWY-5295|ternatin_C5_biosynthesis	Component-6
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-7864|55335	0.611940	PWY-7280|ternatin_C3_biosynthesis	Component-6
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-7862|77887	0.558824	PWY-5295|ternatin_C5_biosynthesis	Component-6
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-7862|55334	0.597015	PWY-5295|ternatin_C5_biosynthesis	Component-6
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	PELARGONIDIN-3-GLUCOSIDE-CMPD|31967	0.531250	PWY-5312|superpathway_of_anthocyanin_biosynthesis_(from_pelargonidin_3-O-glucoside)	Component-6
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	PELARGONIDIN-3-GLUCOSIDE-CMPD|31967	0.531250	PWY-7679|anthocyanidin_acylglucoside_and_acylsambubioside_biosynthesis	Component-6
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	PELARGONIDIN-3-GLUCOSIDE-CMPD|31967	0.531250	PWY-7678|anthocyanidin_sambubioside_biosynthesis	Component-6
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	PELARGONIDIN-3-GLUCOSIDE-CMPD|31967	0.531250	PWY-7261|anthocyanidin_3-malylglucoside_biosynthesis_(acyl-glucose_dependent)	Component-6
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	PELARGONIDIN-3-GLUCOSIDE-CMPD|31967	0.531250	PWY-5286|anthocyanidin_sophoroside_metabolism	Component-6
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	PELARGONIDIN-3-GLUCOSIDE-CMPD|31967	0.531250	PWY-7259|pelargonidin_diglucoside_biosynthesis_(acyl-glucose_dependent)	Component-6
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	PELARGONIDIN-3-GLUCOSIDE-CMPD|31967	0.531250	PWY-7267|anthocyanin_biosynthesis_(pelargonidin_3-<i>O</i>-glucoside)	Component-6
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	PELARGONIDIN-3-GLUCOSIDE-CMPD|31967	0.531250	PWY-5139|pelargonidin_conjugates_biosynthesis	Component-6
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	PELARGONIDIN-3-GLUCOSIDE-CMPD|31967	0.531250	PWY-5268|salvianin_biosynthesis	Component-6
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-12571|60014	0.272727	PWY-6631|tricetin_methylation	Component-7
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-12571|60014	0.272727	PWY-7995|tricin_biosynthesis	Component-7
0_10_scan13108_scans13108-1	Flavonoid_3-O-p-coumaroyl_glycosides	CPD-12572|60016	0.259740	PWY-6631|tricetin_methylation	Component-7
